1101|38000|49400.000000|12|15|10|2025
1201|145000|188500.000000|8|10|11|2025
1301|25000|32500.000000|5|27|09|2025
2101|3500|4550.000000|20|04|08|2025
2201|1200|1560.000000|7|18|06|2025
2301|2900|3770.000000|14|29|11|2025
2401|4500|5850.000000|9|03|10|2025
1101|38000|49400.000000|22|12|07|2025
1201|145000|188500.000000|16|25|05|2025
1301|25000|32500.000000|3|04|04|2025
2101|3500|4550.000000|18|19|03|2025
2201|1200|1560.000000|6|06|02|2025
2301|2900|3770.000000|9|14|01|2025
2401|4500|5850.000000|27|30|10|2025
1101|38000|49400.000000|11|08|09|2025
1201|145000|188500.000000|25|21|08|2025
1301|25000|32500.000000|10|10|07|2025
2101|3500|4550.000000|7|22|11|2025
2201|1200|1560.000000|4|02|10|2025
2301|2900|3770.000000|19|13|09|2025
2401|4500|5850.000000|23|09|11|2025
1101|38000|49400.000000|14|17|03|2025
1201|145000|188500.000000|6|28|02|2025
1301|25000|32500.000000|17|05|01|2025
2101|3500|4550.000000|30|30|08|2025
2201|1200|1560.000000|8|27|07|2025
2301|2900|3770.000000|15|11|10|2025
2401|4500|5850.000000|12|18|06|2025
